tenant_id,company_id,lov_type_code,key_data,val_data,created_by,created_at,updated_by,updated_at,is_disableable,is_active
1082115978,1082115978,LOOK,LOC,Location,0,2018-01-01 00:00:00+00,,,False,True
1082115978,1082115978,LOOK,UNI,Unit,0,2018-01-01 00:00:00+00,,,False,True
1082115978,1082115978,LOOK,JOB,Job,0,2018-01-01 00:00:00+00,,,False,True
1082115978,1082115978,LOOK,POS,Position,0,2018-01-01 00:00:00+00,,,False,True
1082115978,1082115978,LOOK,GRD,Grade,0,2018-01-01 00:00:00+00,,,False,True
1082115978,1082115978,LOOK,EMSTAT,Employee Status,0,2018-01-01 00:00:00+00,,,False,True
1082115978,1082115978,LOOK,WKMON,Working Month,0,2018-01-01 00:00:00+00,,,False,True
1082115978,1082115978,ACTY,HIRE,Hire,0,2018-01-01 00:00:00+00,,,False,True
1082115978,1082115978,ACTY,TERM,Terminate,0,2018-01-01 00:00:00+00,,,False,True
1082115978,1082115978,ACTY,PROM,Promotion,0,2018-01-02 00:00:00+00,,,False,True
1082115978,1082115978,ACTY,MUTA,Mutation,0,2018-01-02 00:00:00+00,,,False,True
1082115978,1082115978,ASTA,ACT,Active,0,2018-01-03 00:00:00+00,,,False,True
1082115978,1082115978,ASTA,SUS,Suspended,0,2018-01-03 00:00:00+00,,,False,True
1082115978,1082115978,ASTA,TMT,Terminated,0,2018-01-04 00:00:00+00,,,False,True
1082115978,1082115978,BPT,NOP,No Period,0,2018-01-04 00:00:00+00,,,False,True
1082115978,1082115978,BPT,EJD,Employee's Join Date,0,2018-01-05 00:00:00+00,,,False,True
1082115978,1082115978,BPT,CLD,Claim Date,0,2018-01-05 00:00:00+00,,,False,True
1082115978,1082115978,BPT,SPD,Specific Date,0,2018-01-06 00:00:00+00,,,False,True
1082115978,1082115978,BQT,FA,Fixed Amount,0,2018-01-06 00:00:00+00,,,False,True
1082115978,1082115978,BQT,BW,Basic Wage,0,2018-01-07 00:00:00+00,,,False,True
1082115978,1082115978,BLOD,AO,A,0,2018-01-07 00:00:00+00,,,False,True
1082115978,1082115978,BLOD,BO,B,0,2018-01-08 00:00:00+00,,,False,True
1082115978,1082115978,BLOD,AB,AB,0,2018-01-08 00:00:00+00,,,False,True
1082115978,1082115978,BLOD,OO,O,0,2018-01-09 00:00:00+00,,,False,True
1082115978,1082115978,BLOD,-,-,0,2018-01-09 00:00:00+00,,,False,True
1082115978,1082115978,CUSMOD,PBI,PERSON BASIC INFORMATION,0,2018-01-09 00:00:00+00,,,False,True
1082115978,1082115978,CUSOBJ,PSN,PERSON,0,2018-01-10 00:00:00+00,,,False,True
1082115978,1082115978,CDTYPE,TXT,Text,0,2018-01-10 00:00:00+00,,,False,True
1082115978,1082115978,CDTYPE,OPT,Option,0,2018-01-11 00:00:00+00,,,False,True
1082115978,1082115978,CDTYPE,NUM,Number,0,2018-01-11 00:00:00+00,,,False,True
1082115978,1082115978,CDTYPE,DATE,Date,0,2018-01-12 00:00:00+00,,,False,True
