tenant_id,company_id,id,province_code,code,name,created_by,created_at,updated_by,updated_at
1082115978,1082115978,6256,ID-AC,ID-BNA,Banda Aceh,0,2018-01-01 00:00:00+00,,
1082115978,1082115978,6257,ID-AC,ID-BIR,Bireuen,0,2018-01-01 00:00:00+00,,
1082115978,1082115978,6258,ID-AC,ID-BKJ,Blangkejeren,0,2018-01-01 00:00:00+00,,
1082115978,1082115978,6259,ID-AC,ID-BPD,Blangpidie,0,2018-01-01 00:00:00+00,,
1082115978,1082115978,6260,ID-AC,ID-CAG,Calang,0,2018-01-01 00:00:00+00,,
1082115978,1082115978,6261,ID-AC,ID-JTH,Jantho,0,2018-01-01 00:00:00+00,,
1082115978,1082115978,6262,ID-AC,ID-KRB,Karang Baru,0,2018-01-01 00:00:00+00,,
1082115978,1082115978,6263,ID-AC,ID-KTN,Kutacane,0,2018-01-01 00:00:00+00,,
1082115978,1082115978,6264,ID-AC,ID-LGS,Langsa,0,2018-01-01 00:00:00+00,,
1082115978,1082115978,6265,ID-AC,ID-LSM,Lhokseumawe,0,2018-01-01 00:00:00+00,,
1082115978,1082115978,6266,ID-AC,ID-LSK,Lhoksukon,0,2018-01-01 00:00:00+00,,
1082115978,1082115978,6267,ID-AC,ID-MBO,Meulaboh,0,2018-01-01 00:00:00+00,,
1082115978,1082115978,6268,ID-AC,ID-MRN,Meureundu,0,2018-01-01 00:00:00+00,,
1082115978,1082115978,6269,ID-AC,ID-SAB,Sabang,0,2018-01-01 00:00:00+00,,
1082115978,1082115978,6270,ID-AC,ID-SGI,Sigli,0,2018-01-01 00:00:00+00,,
1082115978,1082115978,6271,ID-AC,ID-STR,Simpang Tiga Redelong,0,2018-01-01 00:00:00+00,,
1082115978,1082115978,6272,ID-AC,ID-SNB,Sinabang,0,2018-01-01 00:00:00+00,,
1082115978,1082115978,6273,ID-AC,ID-SKL,Singkil,0,2018-01-01 00:00:00+00,,
1082115978,1082115978,6274,ID-AC,ID-SUS,Subulussalam,0,2018-01-01 00:00:00+00,,
1082115978,1082115978,6275,ID-AC,ID-SKM,Suka Makmue,0,2018-01-01 00:00:00+00,,
1082115978,1082115978,6276,ID-AC,ID-TKN,Takengon,0,2018-01-01 00:00:00+00,,
