tenant_id,company_id,id,country_code,code,name,created_by,created_at,updated_by,updated_at
12345,12345,20,ID,ID-AC,Aceh,0,2018-01-01,,
12345,12345,21,ID,ID-BA,Bali,0,2018-01-01,,
12345,12345,22,ID,ID-BB,Bangka-Belitung Islands,0,2018-01-01,,
12345,12345,23,ID,ID-BT,Banten,0,2018-01-01,,
12345,12345,24,ID,ID-BE,Bengkulu,0,2018-01-01,,
12345,12345,25,ID,ID-GO,Gorontalo,0,2018-01-01,,
12345,12345,26,ID,ID-JA,Jambi,0,2018-01-01,,
12345,12345,27,ID,ID-JB,West Java,0,2018-01-01,,
12345,12345,28,ID,ID-JT,Central Java,0,2018-01-01,,
12345,12345,29,ID,ID-JI,East Java,0,2018-01-01,,
12345,12345,30,ID,ID-KB,West Kalimantan,0,2018-01-01,,
12345,12345,31,ID,ID-KS,South Kalimantan,0,2018-01-01,,
12345,12345,32,ID,ID-KT,Central Kalimantan,0,2018-01-01,,
12345,12345,33,ID,ID-KI,East Kalimantan,0,2018-01-01,,
12345,12345,34,ID,ID-KU,North Kalimantan,0,2018-01-01,,
12345,12345,35,ID,ID-KR,Riau Islands,0,2018-01-01,,
12345,12345,36,ID,ID-LA,Lampung,0,2018-01-01,,
12345,12345,37,ID,ID-MA,Maluku,0,2018-01-01,,
12345,12345,38,ID,ID-MU,North Maluku,0,2018-01-01,,
12345,12345,39,ID,ID-NB,West Nusa Tenggara,0,2018-01-01,,
12345,12345,40,ID,ID-NT,East Nusa Tenggara,0,2018-01-01,,
12345,12345,41,ID,ID-PA,Papua,0,2018-01-01,,
12345,12345,42,ID,ID-PB,West Papua,0,2018-01-01,,
12345,12345,43,ID,ID-RI,Riau,0,2018-01-01,,
12345,12345,44,ID,ID-SR,West Sulawesi,0,2018-01-01,,
12345,12345,45,ID,ID-SN,South Sulawesi,0,2018-01-01,,
12345,12345,46,ID,ID-ST,Central Sulawesi,0,2018-01-01,,
12345,12345,47,ID,ID-SG,Southeast Sulawesi,0,2018-01-01,,
12345,12345,48,ID,ID-SA,North Sulawesi,0,2018-01-01,,
12345,12345,49,ID,ID-SB,West Sumatra,0,2018-01-01,,
12345,12345,50,ID,ID-SS,South Sumatra,0,2018-01-01,,
12345,12345,51,ID,ID-SU,North Sumatra,0,2018-01-01,,
12345,12345,52,ID,ID-JK,Jakarta,0,2018-01-01,,
12345,12345,53,ID,ID-YO,Yogyakarta,0,2018-01-01,,
1113223891,1113223891,54,ID,ID-AC,Aceh,0,2018-01-01,,
1113223891,1113223891,55,ID,ID-BA,Bali,0,2018-01-01,,
1113223891,1113223891,56,ID,ID-BB,Bangka-Belitung Islands,0,2018-01-01,,
1113223891,1113223891,57,ID,ID-BT,Banten,0,2018-01-01,,
1113223891,1113223891,58,ID,ID-BE,Bengkulu,0,2018-01-01,,
1113223891,1113223891,59,ID,ID-GO,Gorontalo,0,2018-01-01,,
1113223891,1113223891,60,ID,ID-JA,Jambi,0,2018-01-01,,
1113223891,1113223891,61,ID,ID-JB,West Java,0,2018-01-01,,
1113223891,1113223891,62,ID,ID-JT,Central Java,0,2018-01-01,,
1113223891,1113223891,63,ID,ID-JI,East Java,0,2018-01-01,,
1113223891,1113223891,64,ID,ID-KB,West Kalimantan,0,2018-01-01,,
1113223891,1113223891,65,ID,ID-KS,South Kalimantan,0,2018-01-01,,
1113223891,1113223891,66,ID,ID-KT,Central Kalimantan,0,2018-01-01,,
1113223891,1113223891,67,ID,ID-KI,East Kalimantan,0,2018-01-01,,
1113223891,1113223891,68,ID,ID-KU,North Kalimantan,0,2018-01-01,,
1113223891,1113223891,69,ID,ID-KR,Riau Islands,0,2018-01-01,,
1113223891,1113223891,70,ID,ID-LA,Lampung,0,2018-01-01,,
1113223891,1113223891,71,ID,ID-MA,Maluku,0,2018-01-01,,
1113223891,1113223891,72,ID,ID-MU,North Maluku,0,2018-01-01,,
1113223891,1113223891,73,ID,ID-NB,West Nusa Tenggara,0,2018-01-01,,
1113223891,1113223891,74,ID,ID-NT,East Nusa Tenggara,0,2018-01-01,,
1113223891,1113223891,75,ID,ID-PA,Papua,0,2018-01-01,,
1113223891,1113223891,76,ID,ID-PB,West Papua,0,2018-01-01,,
1113223891,1113223891,77,ID,ID-RI,Riau,0,2018-01-01,,
1113223891,1113223891,78,ID,ID-SR,West Sulawesi,0,2018-01-01,,
1113223891,1113223891,79,ID,ID-SN,South Sulawesi,0,2018-01-01,,
1113223891,1113223891,80,ID,ID-ST,Central Sulawesi,0,2018-01-01,,
1113223891,1113223891,81,ID,ID-SG,Southeast Sulawesi,0,2018-01-01,,
1113223891,1113223891,82,ID,ID-SA,North Sulawesi,0,2018-01-01,,
1113223891,1113223891,83,ID,ID-SB,West Sumatra,0,2018-01-01,,
1113223891,1113223891,84,ID,ID-SS,South Sumatra,0,2018-01-01,,
1113223891,1113223891,85,ID,ID-SU,North Sumatra,0,2018-01-01,,
1113223891,1113223891,86,ID,ID-JK,Jakarta,0,2018-01-01,,
1113223891,1113223891,87,ID,ID-YO,Yogyakarta,0,2018-01-01,,
1113223891,1000000000,89,ID,ID-JB,West Java,0,2018-01-01,,
