tenant_id,company_id,employee_status_code,format,autonumber_id,created_by,created_at,updated_by,updated_at,lov_nbft
1234567890,1234567890,,{{N*}},1,0,now(),,,LTASG
1234567890,1234567890,,{{N*}},1,0,now(),,,LTGEMPST
1234567890,1234567890,,{{N*}},1,0,now(),,,LTQEMPST
1234567890,1234567890,,{{N*}},1,0,now(),,,LTLEAV
1234567890,1234567890,,{{N*}},1,0,now(),,,LTPUNS
1234567890,1234567890,,{{N*}},1,0,now(),,,LTACTEMP
1234567890,1969162210,,{{N*}},1,0,now(),,,LTASG
1234567890,1969162210,,{{N*}},1,0,now(),,,LTGEMPST
1234567890,1969162210,,{{N*}},1,0,now(),,,LTQEMPST
1234567890,1969162210,,{{N*}},1,0,now(),,,LTLEAV
1234567890,1969162210,,{{N*}},1,0,now(),,,LTPUNS
1234567890,1969162210,,{{N*}},1,0,now(),,,LTACTEMP
1234567890,1903429109,,{{N*}},1,0,now(),,,LTASG
1234567890,1903429109,,{{N*}},1,0,now(),,,LTGEMPST
1234567890,1903429109,,{{N*}},1,0,now(),,,LTQEMPST
1234567890,1903429109,,{{N*}},1,0,now(),,,LTLEAV
1234567890,1903429109,,{{N*}},1,0,now(),,,LTPUNS
1234567890,1903429109,,{{N*}},1,0,now(),,,LTACTEMP
1234567890,1268297185,,{{N*}},1,0,now(),,,LTASG
1234567890,1268297185,,{{N*}},1,0,now(),,,LTGEMPST
1234567890,1268297185,,{{N*}},1,0,now(),,,LTQEMPST
1234567890,1268297185,,{{N*}},1,0,now(),,,LTLEAV
1234567890,1268297185,,{{N*}},1,0,now(),,,LTPUNS
1234567890,1268297185,,{{N*}},1,0,now(),,,LTACTEMP
