tenant_id,company_id,eff_begin,eff_end,code,description,is_head,created_by,created_at,updated_by,updated_at,unit_code,job_code,name,id
1000000001,1000000001,2019-06-10,9999-12-31,PD,President Director,TRUE,0,2019-06-11,,,DIVBOD,CEO,President Director,
1000000001,1000000001,2019-06-10,9999-12-31,VPD,Vice President Director,TRUE,0,2019-06-11,,,DIVBOD2,DCEO,Vice President Director,
1000000001,1000000001,2019-06-10,9999-12-31,CHRO,Chief Human Resources Officer,TRUE,0,2019-06-11,,,DIVHRGA,DIR,Chief Human Resources Officer,
1000000001,1000000001,2019-06-10,9999-12-31,HRGM,Human Resources General Manager,TRUE,0,2019-06-11,,,DIVHRGA1,GM,Human Resources General Manager,
1000000001,1000000001,2019-06-10,9999-12-31,HRGAM,Human Resources Operations and General Affairs Manager,TRUE,0,2019-06-11,,,DEPTHRGA1,MGR,Human Resources Operations and GA Manager,
1000000001,1000000001,2019-06-10,9999-12-31,HRGAS,Human Resources & General Affairs Staff,FALSE,0,2019-06-11,,,DEPTHRGA1,STAFF,Human Resources & General Affairs Staff,
1000000001,1000000001,2019-06-10,9999-12-31,GAHD,General Affairs Help Desk Staff,FALSE,0,2019-06-11,,,DEPTHRGA1,STAFF,General Affairs Help Desk Staff,
1000000001,1000000001,2019-06-10,9999-12-31,RCPT,Reception Staff,FALSE,0,2019-06-11,,,DEPTHRGA1,STAFF,Reception Staff,
1000000001,1000000001,2019-06-10,9999-12-31,HROS,HR Operation Staff,FALSE,0,2019-06-11,,,DEPTHRGA1,STAFF,HR Operation Staff,
1000000001,1000000001,2019-06-10,9999-12-31,HRSM,Human Resources Services Manager,TRUE,0,2019-06-11,,,DEPTHRGA2,MGR,Human Resources Services Manager,
1000000001,1000000001,2019-06-10,9999-12-31,HRBP,HR Business Partner,FALSE,0,2019-06-11,,,DEPTHRGA2,SPV,HR Business Partner,
1000000001,1000000001,2019-06-10,9999-12-31,PHS,Payroll & HRIS Senior Supervisor,FALSE,0,2019-06-11,,,DEPTHRGA2,SPV,Payroll & HRIS Senior Supervisor,
1000000001,1000000001,2019-06-10,9999-12-31,HRBPS,Human Resources Business Partner Supervisor,FALSE,0,2019-06-11,,,DEPTHRGA2,SPV,Human Resources Business Partner Supervisor,
1000000001,1000000001,2019-06-10,9999-12-31,CIO,Chief Information Officer,TRUE,0,2019-06-11,,,DIVIT,CTO,Chief Information Officer,
1000000001,1000000001,2019-06-10,9999-12-31,UI/UX,Sub Division It UI/UX General Manager,TRUE,0,2019-06-11,,,UI/UX,GM,Sub Division It UI/UX General Manager,
1000000001,1000000001,2019-06-10,9999-12-31,IT UI/X CREATIVE,It UI/UX Creative Manager,FALSE,0,2019-06-11,,,IT UI/X CREATIVE,MGR,It UI/UX Creative Manager,
1000000001,1000000001,2019-06-10,9999-12-31,CRS,Creative Staff,FALSE,0,2019-06-11,,,IT UI/X CREATIVE,STAFF,Creative Staff,
1000000001,1000000001,2019-06-10,9999-12-31,MCMANAGER,Management Creative Manager,TRUE,0,2019-06-11,,,IT UI/X CREATIVE,MGR,Management Creative Manager,
1000000001,1000000001,2019-06-10,9999-12-31,IT UI/X BA,It UI/X Business Analyst Manager,FALSE,0,2019-06-11,,,IT UI/X BA,MGR,It UI/X Business Analyst Manager,
1000000001,1000000001,2019-06-10,9999-12-31,MSBAMGR,Management Service BA Manager,TRUE,0,2019-06-11,,,IT UI/X BA,MGR,Management Service BA Manager,
1000000001,1000000001,2019-06-10,9999-12-31,SBASTAFF,Service Business Analyst Staff,FALSE,0,2019-06-11,,,IT UI/X BA,STAFF,Service Business Analyst Staff,
1000000001,1000000001,2019-06-10,9999-12-31,ITDEVGENERALMANAGER,IT Development General Manager,TRUE,0,2019-06-11,,,ITDEVDIV,GM,IT Development General Manager,
1000000001,1000000001,2019-06-10,9999-12-31,ITSDS,IT Service Development Staff,FALSE,0,2019-06-11,,,ITSERVICE,STAFF,IT Service Development Staff,
1000000001,1000000001,2019-06-10,9999-12-31,ITSDSPV,IT Service Development Spv,FALSE,0,2019-06-11,,,ITSERVICE,SPV,IT Service Development Spv,
1000000001,1000000001,2019-06-10,9999-12-31,HOCITSERVICE,Head of Service Development,TRUE,0,2019-06-11,,,ITSERVICE,MGR,Head of Service Development,
1000000001,1000000001,2019-06-10,9999-12-31,DSGM,IT Platform General Manager,FALSE,0,2019-06-11,,,ITPLATFORM,GM,IT Platform General Manager,
1000000001,1000000001,2019-06-10,9999-12-31,ITPDS,IT Platform Development Staff,FALSE,0,2019-06-11,,,ITPLATFORM,STAFF,IT Platform Development Staff,
1000000001,1000000001,2019-06-10,9999-12-31,IPDSPV,IT Platform Development Spv,FALSE,0,2019-06-11,,,ITPLATFORM,SPV,IT Platform Development Spv,
1000000001,1000000001,2019-06-10,9999-12-31,ITPM,IT Platform Manager,TRUE,0,2019-06-11,,,ITPLATFORM,MGR,IT Platform Manager,
1000000001,1000000001,2019-06-10,9999-12-31,MPBAMANAGER,Management Platform BA Manager,TRUE,0,2019-06-11,,,UIXPLATFORM,MGR,Management Platform BA Manager,
1000000001,1000000001,2019-06-10,9999-12-31,PBASTAFF,Platform Business Analyst Staff,FALSE,0,2019-06-11,,,UIXPLATFORM,STAFF,Platform Business Analyst Staff,
