tenant_id,company_id,id,eff_begin,eff_end,code,name,cost_center_code,created_by,created_at,updated_by,updated_at,unit_type_code,location_code
1000000001,1000000001,269,2019-06-10,9999-12-31,DIVBOD,PRESIDENT,1100,0,2019-06-11,,,DIR,HO
1000000001,1000000001,270,2019-06-10,9999-12-31,DIVBOD2,VICE PRESIDENT,1100,0,2019-06-11,,,DIR,HO
1000000001,1000000001,271,2019-06-10,9999-12-31,DIVIT,DIVISION INFORMATION TECHNOLOGY,1100,0,2019-06-11,,,DIV,HO
1000000001,1000000001,272,2019-06-10,9999-12-31,UI-UX,SUB DIVISION IT UI/UX,3400,0,2019-06-11,,,SUBDIV,HO
1000000001,1000000001,273,2019-06-10,9999-12-31,IT_UI-X_CREATIVE,DEPARTMENT IT UI/X CREATIVE,3400,0,2019-06-11,,,DEP,HO
1000000001,1000000001,274,2019-06-10,9999-12-31,IT_UI-X_BA,DEPARTMENT IT UI/X SERVICE BUSINESS ANALYST,3400,0,2019-06-11,,,DEP,HO
1000000001,1000000001,275,2019-06-10,9999-12-31,UIXPLATFORM,DEPARTMENT IT UI/UX PLATFORM BUSINESS ANALYST,3400,0,2019-06-11,,,DEP,HO
1000000001,1000000001,276,2019-06-10,9999-12-31,ITDEVDIV,SUB DIVISION IT DEVELOPMENT,3200,0,2019-06-11,,,SUBDIV,HO
1000000001,1000000001,277,2019-06-10,9999-12-31,ITSERVICE,DEPARTMENT IT SERVICE DEVELOPMENT,3200,0,2019-06-11,,,DEP,HO
1000000001,1000000001,278,2019-06-10,9999-12-31,ITPLATFORM,DEPARTMENT IT PLATFORM DEVELOPMENT,3200,0,2019-06-11,,,DEP,HO
1000000001,1000000001,279,2019-06-10,9999-12-31,DIVHRGA,DIVISION HRGA,1100,0,2019-06-11,,,DIV,HO
1000000001,1000000001,280,2019-06-10,9999-12-31,DIVHRGA1,SUB DIVISION HRGA,2200,0,2019-06-11,,,SUBDIV,HO
1000000001,1000000001,281,2019-06-10,9999-12-31,DEPTHRGA2,DEPARTMENT HR SERVICE,2200,0,2019-06-11,,,DEP,HO
1000000001,1000000001,282,2019-06-10,9999-12-31,DEPTHRGA1,DEPARTMENT HR OPERATIONS & GENERAL AFFAIRS,2200,0,2019-06-11,,,DEP,HO
