tenant_id,company_id,eff_begin,eff_end,code,description,ordinal,created_by,created_at,updated_by,updated_at,job_family_code,name,job_category_code,id
1000000000,1700000000,2018-05-28,9999-12-31,HRSPV,HR SUPERVISOR,1,1,2018-05-28 06:18:55+00,,,,HR SUPERVISOR,,21
1000000000,1700000000,2018-05-28,9999-12-31,HRSTAFF,HR STAFF,1,1,2018-05-28 06:19:19+00,,,,HR STAFF,,22
1000000000,1700000000,2018-05-28,9999-12-31,FINMGR,FINANCE MANAGER,1,1,2018-05-28 06:19:40+00,,,,FINANCE MANAGER,,23
1000000000,1700000000,2018-05-28,9999-12-31,FINSTAFF,FINANCE STAFF,1,1,2018-05-28 06:19:58+00,,,,FINANCE STAFF,,24
1000000000,1700000000,2018-05-28,9999-12-31,DEVSTAFF,DEVELOPER STAFF,1,1,2018-05-28 06:20:45+00,,,,DEVELOPER STAFF,,25
1000000000,1700000000,2018-05-28,9999-12-31,ITPHPSTAFF,IT PHP STAFF,1,1,2018-05-28 06:21:22+00,,,,IT PHP STAFF,,26
1000000000,1700000000,2018-05-28,9999-12-31,ITFUNCSTAFF,IT FUNCTIONAL STAFF,1,1,2018-05-28 06:22:24+00,,,,IT FUNCTIONAL STAFF,,27
1000000000,1700000000,2018-05-28,9999-12-31,SALESMGR,SALES MARKETING MANAGER,1,1,2018-05-28 06:22:53+00,,,,SALES MARKETING MANAGER,,28
1000000000,1700000000,2018-05-28,9999-12-31,SALESSTAFF,SALES MARKETING STAFF,1,1,2018-05-28 06:23:23+00,,,,SALES MARKETING STAFF,,29
1000000000,1700000000,2018-06-05,9999-12-31,BES,Branding and Event Staff,1,1,2018-06-05 00:00:00+00,,,,Branding and Event Staff,,30
1000000000,1700000000,2018-06-05,9999-12-31,BPPM,Business Process and Procurement Manager,1,1,2018-06-05 00:00:00+00,,,,Business Process and Procurement Manager,,31
1000000000,1700000000,2018-06-05,9999-12-31,CMPS,Channel Marketing Partnership Supervisor,1,1,2018-06-05 00:00:00+00,,,,Channel Marketing Partnership Supervisor,,32
1000000000,1700000000,2018-06-05,9999-12-31,DAS,Data Analyst Staff,1,1,2018-06-05 00:00:00+00,,,,Data Analyst Staff,,33
1000000000,1700000000,2018-06-05,9999-12-31,FAGM,Finance & Accounting General Manager,1,1,2018-06-05 00:00:00+00,,,,Finance & Accounting General Manager,,34
1000000000,1700000000,2018-06-05,9999-12-31,FASS,Finance & Accounting Senior Staff,1,1,2018-06-05 00:00:00+00,,,,Finance & Accounting Senior Staff,,35
1000000000,1700000000,2018-06-05,9999-12-31,FAS,Finance & Accounting Staff,1,1,2018-06-05 00:00:00+00,,,,Finance & Accounting Staff,,36
1000000000,1700000000,2018-06-05,9999-12-31,FAM,Finance & Accouting Manager,1,1,2018-06-05 00:00:00+00,,,,Finance & Accouting Manager,,37
1000000000,1700000000,2018-06-05,9999-12-31,GAHDS,General Affairs Help Desk Staff,1,1,2018-06-05 00:00:00+00,,,,General Affairs Help Desk Staff,,38
1000000000,1700000000,2018-06-05,9999-12-31,HRGA,Human Resources & General Affairs Staff,1,1,2018-06-05 00:00:00+00,,,,Human Resources & General Affairs Staff,,39
1000000000,1700000000,2018-06-05,9999-12-31,HRGM,Human Resources General Manager,1,1,2018-06-05 00:00:00+00,,,,Human Resources General Manager,,40
1000000000,1700000000,2018-06-05,9999-12-31,HROGM,Human Resources Operations and General Affairs Manager,1,1,2018-06-05 00:00:00+00,,,,Human Resources Operations and GA Manager,,41
1000000000,1700000000,2018-06-05,9999-12-31,HRSM,Human Resources Services Manager,1,1,2018-06-05 00:00:00+00,,,,Human Resources Services Manager,,42
1000000000,1700000000,2018-06-05,9999-12-31,LM,Legal Manager,1,1,2018-06-05 00:00:00+00,,,,Legal Manager,,43
1000000000,1700000000,2018-06-05,9999-12-31,LS,Legal Staff,1,1,2018-06-05 00:00:00+00,,,,Legal Staff,,44
1000000000,1700000000,2018-06-05,9999-12-31,LSU,Legal Supervisor,1,1,2018-06-05 00:00:00+00,,,,Legal Supervisor,,45
1000000000,1700000000,2018-06-05,9999-12-31,MGM,Marketing General Manager,1,1,2018-06-05 00:00:00+00,,,,Marketing General Manager,,46
1000000000,1700000000,2018-06-05,9999-12-31,MOM,Marketing Operations Manager,1,1,2018-06-05 00:00:00+00,,,,Marketing Operations Manager,,47
1000000000,1700000000,2018-06-05,9999-12-31,MDA,MD ADMIN,1,1,2018-06-05 00:00:00+00,,,,MD ADMIN,,48
1000000000,1700000000,2018-06-05,9999-12-31,PHSS,Payroll & HRIS Senior Supervisor,1,1,2018-06-05 00:00:00+00,,,,Payroll & HRIS Senior Supervisor,,49
1000000000,1700000000,2018-06-05,9999-12-31,PS,Purchasing Staff,1,1,2018-06-05 00:00:00+00,,,,Purchasing Staff,,50
1000000000,1700000000,2018-06-05,9999-12-31,RS,Reception Staff,1,1,2018-06-05 00:00:00+00,,,,Reception Staff,,51
1000000000,1700000000,2018-06-05,9999-12-31,SOESS,SEO/SEM Specialist Staff,1,1,2018-06-05 00:00:00+00,,,,SEO/SEM Specialist Staff,,52
1000000000,1700000000,2018-05-28,9999-12-31,HRMANAGER,HR MANAGER,1,1,2018-05-28 06:18:24+00,1,2018-06-28 04:04:20+00,,HR MANAGERR,,53
1000000000,1700000000,2018-01-01,9999-12-31,DVP,"PHP, Java Programmer",1,1,2018-04-05 08:51:47+00,1,2018-09-07 07:37:33+00,IT,Developer,ENG,54
1000000000,1700000000,2018-09-10,9999-12-31,itdev,IT Developer,1,1,2018-09-10 06:53:39+00,,,IT,IT Developer,Tech,55
1000000000,1700000000,2018-09-24,9999-12-31,ST,"Junior staff,  Senior staff 1",1,1,2018-09-25 06:55:45+00,1,2018-09-25 06:56:35+00,HR,STAFF1,ENG,56
1000000000,1700000000,2018-05-25,9999-12-31,ADMS,ADMINISTRATION STAFF,1,1,2018-05-25 07:42:12+00,1,2018-06-21 08:57:14+00,,ADMINISTRATION STAFF,,57
1000000000,1700000000,2018-10-18,9999-12-31,a,,1,1,2018-10-18 12:22:29+00,,,,a,,64
