tenant_id,company_id,id,person_id,eff_begin,eff_end,is_primary,employee_id,employee_status_code,cost_center_code,grade_code,lov_asta,supervisor_id,created_by,created_at,updated_by,updated_at,file_assignment_doc,note,final_process_date,assignment_doc_number,location_code,position_code,job_code,unit_code,assignment_reason_code,lov_acty,position_slot_code
1000000000,1700000000,815,474,2018-04-26,9999-12-31,t,123123123123,PRMN,CC1,GRD1,ACT2,,1,2018-04-26 06:20:03+00,,,,,,,HOF,JVD,DVP,RND,EXP,HIRE,STAFF1
1000000000,1700000000,813,473,2018-04-01,2018-12-31,t,12345678909,PRMN,,,ACT2,,1,2018-04-05 09:58:17+00,,,,,,,HOF,JVD,DVP,RND,EXP,HIRE,STAFF1
1000000000,1700000000,821,480,2018-06-05,9999-12-31,t,16080005,PRMN,,Grade 3,ACT,,1,2018-06-05 00:00:00+00,,,,,,,HOF,STAFF-MD,MDA,GLB,EXP,HIRE,STAFF1
1000000000,1700000000,822,481,2018-06-05,9999-12-31,t,16080007,PRMN,,Grade 2,ACT,,1,2018-06-05 00:00:00+00,,,,,,,HOF,GM-HR,HRGM,HRDEPT,EXP,HIRE,STAFF1
1000000000,1700000000,823,482,2018-06-05,9999-12-31,t,16080008,PRMN,,Grade 3,ACT,,1,2018-06-05 00:00:00+00,,,,,,,HOF,MGR-HROGA,HROGM,HRDEPT,EXP,HIRE,STAFF1
1000000000,1700000000,824,483,2018-06-05,9999-12-31,t,16080009,PRMN,,Grade 1,ACT,,1,2018-06-05 00:00:00+00,,,,,,,HOF,MGR-HRS,HRSM,HRS,EXP,HIRE,STAFF1
1000000000,1700000000,825,484,2018-06-05,9999-12-31,t,16080011,PRMN,,Grade 1,ACT,,1,2018-06-05 00:00:00+00,,,,,,,HOF,SPV-PHS,PHSS,HRS,EXP,HIRE,STAFF1
1000000000,1700000000,826,485,2018-06-05,9999-12-31,t,16100020,PRMN,,Grade 1,ACT,,1,2018-06-05 00:00:00+00,,,,,,,HOF,STAFF-HRGA,HRGA,HRDEPT,EXP,HIRE,STAFF1
1000000000,1700000000,827,486,2018-06-05,9999-12-31,t,16110029,PRMN,,Grade 1,ACT,,1,2018-06-05 00:00:00+00,,,,,,,HOF,STAFF-GAHDS,GAHDS,HROGA,EXP,HIRE,STAFF1
1000000000,1700000000,829,488,2018-06-05,9999-12-31,t,16120031,PRMN,,Grade 2,ACT,,1,2018-06-05 00:00:00+00,,,,,,,HOF,GM-FAGM,FAGM,FIN-ACC,EXP,HIRE,STAFF1
1000000000,1700000000,830,489,2018-06-05,9999-12-31,t,16120036,PRMN,,Grade 2,ACT,,1,2018-06-05 00:00:00+00,,,,,,,HOF,MGR-FAM,FAM,FIN-ACC,EXP,HIRE,STAFF1
